Station,Time_Valid,Time_Obs,Tdiff,T2_o,Td_o,WB_o,RH_o,SH_o,WD_o,WS_o,WG_o,PSFC_o,Vis_o,WX_o
71030099999,2017102818,2017-10-28T18:00:00,0,13.6,6.8,9.62,63.44,0.006087767,230,3.1,nan,100980,nan,Not_Parsed
71030099999,2017102821,2017-10-28T21:00:00,0,10,6.4,7.76,78.29,0.005927613,220,1.5,nan,100890,nan,Not_Parsed
71030099999,2017102900,2017-10-29T00:00:00,0,3.5,3,3.08,96.52,0.004673116,nan,nan,nan,100880,nan,Not_Parsed
71030099999,2017102903,2017-10-29T03:00:00,0,2.1,nan,nan,nan,nan,nan,nan,nan,100860,nan,Not_Parsed
71030099999,2017102906,2017-10-29T06:00:00,0,9.1,nan,nan,nan,nan,198,3.3,nan,100880,nan,Not_Parsed
71030099999,2017102909,2017-10-29T09:00:00,0,10.4,10.2,10.2,98.67,0.007675675,180,2.1,nan,100860,nan,Not_Parsed
71030099999,2017102912,2017-10-29T12:00:00,0,11.2,10.9,10.94,98.03,0.008036959,181,3.2,nan,100930,nan,Not_Parsed
71030099999,2017102915,2017-10-29T15:00:00,0,13.5,10.4,11.45,81.51,0.007778961,180,5,nan,100860,nan,Not_Parsed
71030099999,2017102918,2017-10-29T18:00:00,0,13.4,10.6,11.53,83.14,0.007893638,164,2.9,nan,100730,nan,Not_Parsed
71030099999,2017102921,2017-10-29T21:00:00,0,12.2,10.2,10.83,87.57,0.007688632,138,1.6,nan,100690,nan,Not_Parsed
71030099999,2017103000,2017-10-30T00:00:00,0,12.7,10.7,11.33,87.62,0.007962225,120,3.4,nan,100530,nan,Not_Parsed
71030099999,2017103003,2017-10-30T03:00:00,0,13,11.1,11.68,88.23,0.008196455,123,4.4,nan,100290,nan,Not_Parsed
71030099999,2017103006,2017-10-30T06:00:00,0,13.7,12.1,12.57,90.06,0.008780487,110,4.6,nan,100020,nan,Not_Parsed
71030099999,2017103009,2017-10-30T09:00:00,0,14.1,12.4,12.9,89.5,0.008999587,100,5.7,nan,99530,nan,Not_Parsed
71030099999,2017103012,2017-10-30T12:00:00,0,15.3,14.7,14.84,96.21,0.010511509,110,7.2,nan,98980,nan,Not_Parsed
71030099999,2017103015,2017-10-30T15:00:00,0,15.9,15.6,15.66,98.1,0.01119299,144,8.6,nan,98490,nan,Not_Parsed
71030099999,2017103018,2017-10-30T18:00:00,0,14.7,11.8,12.74,82.75,0.008743949,195,7.4,nan,98470,nan,Not_Parsed
71035999999,2017102818,2017-10-28T18:00:00,0,16.1,4,9.69,44.44,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102819,2017-10-28T19:00:00,0,16.4,5.8,10.54,49.44,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102820,2017-10-28T20:00:00,0,16.8,6.1,10.85,49.21,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102821,2017-10-28T21:00:00,0,15.5,6.2,10.27,53.84,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102822,2017-10-28T22:00:00,0,15.6,7,10.66,56.53,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102823,2017-10-28T23:00:00,0,15.2,7.7,10.79,60.85,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102900,2017-10-29T00:00:00,0,15.2,9,11.42,66.46,nan,nan,nan,9.8,nan,nan,Not_Parsed
71035999999,2017102901,2017-10-29T01:00:00,0,15,9.1,11.38,67.78,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102902,2017-10-29T02:00:00,0,14.7,9.2,11.3,69.57,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102903,2017-10-29T03:00:00,0,14.2,8.9,10.92,70.41,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102904,2017-10-29T04:00:00,0,14,8.7,10.73,70.37,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102905,2017-10-29T05:00:00,0,13.8,8.8,10.69,71.78,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102906,2017-10-29T06:00:00,0,13.5,9.4,10.89,76.22,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102907,2017-10-29T07:00:00,0,13.1,9.3,10.66,77.71,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102908,2017-10-29T08:00:00,0,13.1,10,11.06,81.45,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102909,2017-10-29T09:00:00,0,12.7,9.8,10.78,82.5,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102910,2017-10-29T10:00:00,0,12.6,10,10.86,84.16,nan,nan,nan,nan,nan,nan,Not_Parsed
71035999999,2017102911,2017-10-29T11:00:00,0,12.2,9.8,10.59,85.25,nan,nan,nan,nan,nan,nan,Not_Parsed
